Transaction Id,Invoice Date,Customer Id,Product Id,Quantity,List Price,Discount,Cost,Currency,LastUpdateDate,Invoice Price,Product Group,Customer Group,Rebate
IL000010208,2022-04-28,CD-00092,MB-0003,458,14.02,2.104294221,5.33,EUR,2022-07-29T08:58:54,5457.393246782,Beef,APPO AG,545.73932467820255751487948928788890
IL000030676,2022-03-11,CD-00137,MB-0003,399,14.02,4.60264481462503,5.33,EUR,2022-07-29T08:58:54,3757.52471896461303,Beef,APPO AG,375.75247189645881779412261558091540
IL000032442,2022-04-12,CD-00137,MB-0003,326,14.02,4.60264481462503,5.33,EUR,2022-07-29T08:58:54,3070.05779043224022,Beef,APPO AG,307.00577904322625327613187811562740
IL000033488,2022-07-23,CD-00046,MB-0003,249,14.02,3.36072631375002,5.33,EUR,2022-07-29T08:58:54,2654.15914787624502,Beef,APPO AG,265.41591478762396140771531494323215
IL000015051,2022-03-07,CD-00092,MB-0002,251,12.22,1.834128059,5.25,EUR,2022-07-29T08:58:54,2606.853857191,Beef,APPO AG,260.68538571910067651168951233675700
IL000033780,2022-07-20,CD-00046,MB-0002,273,12.22,2.92924932625002,5.25,EUR,2022-07-29T08:58:54,2536.37493393374454,Beef,APPO AG,253.63749339337278220183591630939700
IL000013014,2022-06-22,CD-00046,MB-0003,207,14.02,3.360726314,5.33,EUR,2022-07-29T08:58:54,2206.469653002,Beef,APPO AG,220.64696530019880980357056836275760
IL000033922,2022-06-20,CD-00092,MB-0041,474,5.15424,0.77361180078,3.64,EUR,2022-07-29T08:58:54,2076.41776643028,Beef,APPO AG,207.64177664302866696644002367547330
IL000030916,2022-05-14,CD-00001,MB-0002,216,12.22,2.803362705,5.25,EUR,2022-07-29T08:58:54,2033.993655720,Beef,APPO AG,203.39936557199977137422473164153415
IL000021652,2022-06-02,CD-00112,MB-0053,482,5.52117,1.643672496,4.66,EUR,2022-07-29T08:58:54,1868.953796928,Beef,APPO AG,186.89537969280227531980502633190995
IL000014742,2022-03-10,CD-00092,MB-0030,487,4.26,0.625019745,2.92,EUR,2022-07-29T08:58:54,1770.235384185,Beef,APPO AG,177.02353841849996208224143754421595
IL000011941,2022-03-03,CD-00026,MB-0001,294,8.14,2.221664445,4.81,EUR,2022-07-29T08:58:54,1739.990653170,Beef,APPO AG,173.99906531700153946065282923635630
IL000018123,2022-03-09,CD-00092,MB-0041,382,5.15424,0.7736118008,3.64,EUR,2022-07-29T08:58:54,1673.3999720944,Beef,APPO AG,167.33999720944211075615046084035250
IL000010391,2022-05-02,CD-00112,MB-0059,355,6.53375,1.898191584,4.61,EUR,2022-07-29T08:58:54,1645.623237680,Beef,APPO AG,164.56232376800114576176634133468155
IL000018733,2022-07-04,CD-00092,MB-0001,235,8.14,1.221751424,4.81,EUR,2022-07-29T08:58:54,1625.788415360,Beef,APPO AG,162.57884153600161860611124768923605
IL000015771,2022-05-10,CD-00026,MB-0001,261,8.14,2.221664445,4.81,EUR,2022-07-29T08:58:54,1544.685579855,Beef,APPO AG,154.46855798549977782418646432872770
IL000009118,2022-04-15,CD-00137,MB-0003,155,14.02,4.602644815,5.33,EUR,2022-07-29T08:58:54,1459.690053675,Beef,APPO AG,145.96900536749903454423744368741030
IL000017781,2022-02-21,CD-00137,MB-0001,265,8.14,2.67229164,4.81,EUR,2022-07-29T08:58:54,1448.94271540,Beef,APPO AG,144.89427154000218396307007957693500
IL000015120,2022-06-09,CD-00092,MB-0048,468,3.63298,0.5452823695,2.6,EUR,2022-07-29T08:58:54,1445.0424910740,Beef,APPO AG,144.50424910739957701706286898506015
IL000015555,2022-03-10,CD-00112,MB-0030,474,4.26,1.23761946,2.92,EUR,2022-07-29T08:58:54,1432.60837596,Beef,APPO AG,143.26083759600291510399946155524000
IL000014607,2022-07-22,CD-00092,MB-0041,321,5.15424,0.7736118008,3.64,EUR,2022-07-29T08:58:54,1406.1816519432,Beef,APPO AG,140.61816519431993400070334728806880
IL000010954,2022-01-26,CD-00092,MB-0001,393,8.14,1.221751424,4.81,EUR,2022-07-29T08:58:54,2718.871690368,Beef,APPO AG,135.94358451839826786929225368627305
IL000034515,2022-03-02,CD-00001,MB-0001,213,8.14,1.867379085,4.81,EUR,2022-07-29T08:58:54,1336.068254895,Beef,APPO AG,133.60682548949887163210745959714115
IL000029730,2022-06-10,CD-00092,MB-0059,236,6.53375,0.9586203659,4.61,EUR,2022-07-29T08:58:54,1315.7305936476,Beef,APPO AG,131.57305936475902179880303410442020
IL000042149,2022-11-10,CD-00137,MB-0002,318,12.22,4.011720373,5.25,EUR,2022-07-29T08:58:54,2610.232921386,Beef,APPO AG,130.51164606930167899282358471027910
IL000009542,2022-03-19,CD-00092,MB-0048,421,3.63298,0.5452823695,2.6,EUR,2022-07-29T08:58:54,1299.9207024405,Beef,APPO AG,129.99207024405107291529923747938530
IL000013823,2022-02-17,CD-00092,MB-0059,231,6.53375,0.9586203659,4.61,EUR,2022-07-29T08:58:54,1287.8549454771,Beef,APPO AG,128.78549454770971569736060073361720
IL000038474,2022-12-02,CD-00137,MB-0001,469,8.14,2.67229164,4.81,EUR,2022-07-29T08:58:54,2564.35522084,Beef,APPO AG,128.21776104200220463709657349147780
IL000016337,2022-02-17,CD-00112,MB-0041,353,5.15424,1.534436093,3.64,EUR,2022-07-29T08:58:54,1277.790779171,Beef,APPO AG,127.77907791709757426233090740018840
IL000034402,2022-01-17,CD-00001,MB-0003,225,14.02,3.216296655,5.33,EUR,2022-07-29T08:58:54,2430.833252625,Beef,APPO AG,121.54166263125154305570829487832780
IL000014708,2022-06-17,CD-00092,MB-0050,482,2.84877,0.4179665491,2.01,EUR,2022-07-29T08:58:54,1171.6472633338,Beef,APPO AG,117.16472633337957251139952238256860
IL000043963,2022-08-15,CD-00112,MB-0001,406,8.14,2.423307762,4.81,EUR,2022-07-29T08:58:54,2320.977048628,Beef,APPO AG,116.04885243139962643664034011934630
IL000016876,2022-07-26,CD-00092,MB-0051,392,3.39893,0.4986850615,2.62,EUR,2022-07-29T08:58:54,1136.8960158920,Beef,APPO AG,113.68960158919620760497046863389330
IL000012242,2022-02-14,CD-00001,MB-0053,264,5.52117,1.266599187,4.66,EUR,2022-07-29T08:58:54,1123.206694632,Beef,APPO AG,112.32066946319926336315068577651915
IL000016218,2022-05-08,CD-00112,MB-0051,456,3.39893,0.9874605425,2.62,EUR,2022-07-29T08:58:54,1099.6300726200,Beef,APPO AG,109.96300726200052701858573618960980
IL000009945,2022-07-09,CD-00092,MB-0030,302,4.26,0.625019745,2.92,EUR,2022-07-29T08:58:54,1097.764037010,Beef,APPO AG,109.77640370099946713436781092094145
IL000040998,2022-09-17,CD-00137,MB-0002,264,12.22,4.011720373,5.25,EUR,2022-07-29T08:58:54,2166.985821528,Beef,APPO AG,108.34929107639903928837743631522765
IL000044159,2022-12-19,CD-00112,MB-0059,467,6.53375,1.898191584,4.61,EUR,2022-07-29T08:58:54,2164.805780272,Beef,APPO AG,108.24028901360020219508342682587025
IL000018590,2022-03-11,CD-00021,MB-0003,95,14.02,2.987469225,5.33,EUR,2022-07-29T08:58:54,1048.090423625,Beef,APPO AG,104.80904236250229006518047049379820
IL000030678,2022-07-16,CD-00046,MB-0053,246,5.52117,1.32347655504188,4.66,EUR,2022-07-29T08:58:54,1032.63258745969752,Beef,APPO AG,103.26325874597141760858686707795465
IL000012098,2022-07-18,CD-00137,MB-0003,105,14.02,4.602644815,5.33,EUR,2022-07-29T08:58:54,988.822294425,Beef,APPO AG,98.88222944249700692653611010058310
IL000015772,2022-07-14,CD-00046,MB-0001,159,8.14,1.951234821,4.81,EUR,2022-07-29T08:58:54,984.013663461,Beef,APPO AG,98.40136634609956736877174990269620
