Product Id,Label,Product Group,Unit Of Measure,Currency,Business Unit,Product Class,Competition,Size,Product Life Cycle,Last Update,Pricing Logic,User Group (Edit),User Group (View Details)
MB-0001,,Beef,EA,EUR,Meatball,A,high,Large,Growth,2022-07-21T04:30:30,,,
MB-0002,,Beef,EA,EUR,Meatball,B,low,Medium,Decline,2022-07-21T04:30:30,,,
MB-0003,,Beef,EA,EUR,Meatball,C,medium,Small,Growth,2022-07-21T04:30:30,,,
MB-0004,,Pork,EA,EUR,Meatball,B,medium,Small,Growth,2022-07-21T04:30:30,,,
MB-0005,,Pork,EA,EUR,Meatball,B,low,Medium,Growth,2022-07-21T04:30:30,,,
MB-0006,,Pork,EA,EUR,Meatball,A,low,Large,Maturity,2022-07-21T04:30:30,,,
MB-0007,,Lamb,EA,EUR,Meatball,B,high,Small,Maturity,2022-07-21T04:30:30,,,
MB-0008,,Lamb,EA,EUR,Meatball,B,low,Medium,Maturity,2022-07-21T04:30:30,,,
MB-0009,,Lamb,EA,EUR,Meatball,A,low,Large,Decline,2022-07-21T04:30:30,,,
MB-0010,,Tofu,EA,EUR,Meatball,A,low,Small,Decline,2022-07-21T04:30:30,,,
MB-0011,,Tofu,EA,EUR,Meatball,A,low,Medium,Maturity,2022-07-21T04:30:30,,,
MB-0012,,Tofu,EA,EUR,Meatball,C,high,Large,Maturity,2022-07-21T04:30:30,,,
MB-0013,,Mix,EA,EUR,Meatball,C,low,Small,Growth,2022-07-21T04:30:30,,,
MB-0014,,Mix,EA,EUR,Meatball,C,low,Medium,Growth,2022-07-21T04:30:30,,,
MB-0015,,Mix,EA,EUR,Meatball,B,low,Large,Maturity,2022-07-21T04:30:30,,,
MB-0016,,Mix,EA,EUR,Meatball,B,low,Small,Decline,2022-07-21T04:30:30,,,
MB-0017,,Mix,EA,EUR,Meatball,A,low,Medium,Growth,2022-07-21T04:30:30,,,
MB-0018,,Mix,EA,EUR,Meatball,B,low,Large,Growth,2022-07-21T04:30:30,,,
MB-0019,,Mix,EA,EUR,Meatball,B,medium,Small,Maturity,2022-07-21T04:30:30,,,
MB-0020,,Mix,EA,EUR,Meatball,A,low,Medium,Maturity,2022-07-21T04:30:30,,,
MB-0021,,Mix,EA,EUR,Meatball,C,low,Large,Maturity,2022-07-21T04:30:30,,,
MB-0022,,Mix,EA,EUR,Meatball,A,low,Small,Maturity,2022-07-21T04:30:30,,,
MB-0023,,Mix,EA,EUR,Meatball,A,low,Medium,Decline,2022-07-21T04:30:30,,,
MB-0024,,Mix,EA,EUR,Meatball,C,low,Large,Maturity,2022-07-21T04:30:30,,,
MB-0025,,Mix,EA,EUR,Meatball,C,high,Small,Introduction,2022-07-21T04:30:30,,,
